Unique_ID,Neutro4,Thrombo4,Anemia4,Lympho4,GINONV_34,ALLERGY_34,AUDITORY_34,CARDIO_34,COAGULATION_34,CONSTITUTIONAL_34,EPIDERMAL_34,ENDOCRINE_34,INFECTION_34,METABOLIC_34,HEMORRHAGE_34,LYMPHATICS_34,MUSCLE_34,NEUROLOGICAL_34,OCULAR_34,PAIN_34,PULMONARY_34,RENAL_34,VASCULAR_34,OTHER_34,NO_DLT,DLT_PROP
HAN0109_T,0.077,0.026000000000000002,0.0,0.012787657040231661,0.10300000000000001,0.03,0.0,0.048697692252949336,0.0,0.0828697219053949,0.08,0.0,0.06286646807280251,0.0,0.022599289342192894,0.0,0.021268218626395507,0.03,0.012336841971189252,0.002456921291710046,0.0,0.00042531017936880966,0.04700920198279568,0.08695263632074046,0.4618704239478627,0.5381295760521373
JATOS0508_T,0.583,0.0,0.027999999999999997,0.06868842111593763,0.16699999999999998,0.01630084935827599,0.0,0.007666363492687081,0.031122580863409507,0.17,0.02103624498329046,0.0,0.055999999999999994,0.06,0.03349563374005788,0.03276516216266898,0.06422915726548986,0.22,0.02753333595370021,0.079999998,0.03,0.013084915067155867,0.04287376529074899,0.14456376084023348,0.10259980141483048,0.8974001985851695
JEUNG0307_T1,0.0,0.0,0.0,0.0002707116642579007,0.032000002,4.281391102965021e-05,0.0003729983556204084,0.008476913959671081,0.003483311984887976,0.0,0.0,0.0,0.05993481732409682,0.0,0.032,0.002184914225544933,0.022726005550579565,0.052561727213316506,0.020257439076825985,0.09699999999999999,0.0032707790088549182,0.0,0.12183357025891359,0.06973490230843174,0.5788628708342051,0.42113712916579493
JEUNG0307_T2,0.0,0.0,0.0,0.0,0.065,0.001400261098119908,0.002387286023263923,0.02600879397235155,0.002164461710266744,0.032,0.0,0.0,0.08148685467472544,0.065,0.032,0.0,0.023013157628151742,0.021401624576978584,0.015457615276649905,0.032,0.011279028214057941,0.0,0.04674163731417283,0.09234520234394686,0.5678515252987624,0.43214847470123763
JEUNG0707_T,0.0,0.038,0.019,0.005378145605542323,0.135,0.0,0.0,0.07784295923791228,0.02394312203630592,0.096,0.019,0.0,0.038,0.06,0.025543609074182228,0.0071170465259345755,0.011063606035457644,0.027915939372940762,0.0019034803688052796,0.0,0.0006776290592963377,0.0,0.00017671636871746665,0.10760158434181319,0.48510013194763807,0.514899868052362
KANG0108_T,0.07,0.0,0.0,0.005896700794962828,0.023,0.0,0.0044601926491345725,0.04469999917297793,0.022305256761379157,0.047,0.09300000000000001,0.0,0.0,0.0,0.02027762024898585,0.009727379205671773,0.003980660129419503,0.023,0.007585315049017056,0.09300000000000001,0.033413529048821264,0.018916508526452713,0.11206140627346522,0.04430553272831307,0.49645534729837293,0.5035446527016271
KANG0109_T1,0.019,0.3297249327662376,0.0,0.08404684739732961,0.051,0.004418434057621302,0.0019109656751821564,0.01869614161491999,0.011767451344714394,0.02,0.04,0.0,0.006,0.0,0.02109531812743115,0.0018837211766708079,0.006330275590729059,0.028259406081651645,0.005135938451926112,0.021354472343385833,0.0174758690619854,0.0108748946999086,0.03890637549482423,0.05567857668665178,0.4172891820557756,0.5827108179442244
KIMA0807_T,0.14,0.0,0.02,0.008519566871657306,0.08,0.009530225229329163,0.004229256697766597,0.029449096313114445,0.051231980364508344,0.04,0.03330787683100048,0.0,0.06,0.06923887104500207,0.029083249651258795,0.00961952543313807,0.030953033000970905,0.02,0.024990931433283816,0.06,0.02,0.0034780355584285716,0.11198812361114896,0.10730816636342916,0.3673040463157877,0.6326959536842123
KOHNE0903_T,0.205,0.051,0.026000000000000002,0.018286930409530278,0.2,0.0,0.005187800387743878,0.047769607677160646,0.0,0.1,0.027506734978723524,0.0,0.125,0.030689948553027403,0.023236942933846656,0.006162999750211062,0.021942897821591253,0.0444080495413649,0.00872544667540872,0.05,0.010603467177403,0.019662007513053914,0.062345409097923216,0.12517888037452346,0.27587788319018336,0.7241221168098166
KOIZU0704_T1,0.12038051415669826,0.125,0.0,0.029240136119738525,0.063,0.004084101347498138,0.0,0.00607174091593167,0.0,0.0,0.0,0.0,0.06554561188574615,0.0,0.02215353737066042,0.0,0.012999182911379102,0.027226546022147746,0.007485105583526791,0.021283439651427205,0.00047029308537473863,0.0,0.030478189475844852,0.08077516301580462,0.5260887451268704,0.4739112548731296
