,save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,auc_threshold,auc_train,auc_test,outcome,outcome_label,alg,bootstrap_iteration
0,results/gbm/chemo_trustregion_OTHER_34_model.csv,1,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.075, 'max_depth': 3, 'n_estimators': 20}",-0.0007894201557575151,0.0003146887188655596,0.6117438028068243,0.0011857907941699567,0.10425411778694782,0.1008105757875056,0.9179478609625668,0.7127192982456141,OTHER_34,OTHER_34,gbm,0
0,results/svm/chemo_trustregion_OTHER_34_model.csv,1,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 100},-0.0016910932197150696,0.00046229989731508785,0.42962429431404814,0.001202214710173927,0.09184749833712536,0.1008105757875056,0.759692513368984,0.7675438596491229,OTHER_34,OTHER_34,svm,0
0,results/cart/chemo_trustregion_GINONV_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 0.06}",-0.005311468718806318,0.003570372100539148,0.3708147217491077,0.00747259997732989,-0.010506037902876297,0.106,0.7988721804511278,0.6089181286549707,GINONV_34,GINONV_34,cart,0
0,results/linear/chemo_trustregion_GINONV_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': 0.9}",-0.005363386603639346,0.00405709203765725,0.2850429841143478,0.005834965634277023,0.21094826134402922,0.106,0.7506265664160402,0.7280701754385965,GINONV_34,GINONV_34,linear,0
0,results/rf/chemo_trustregion_GINONV_34_model.csv,1,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['auto'], 'max_depth': [2, 3, 4]}","{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 25}",-0.005591967578173996,0.002718863219937887,0.520871028735516,0.005472237611392356,0.25999930895175904,0.106,0.8594924812030075,0.6973684210526315,GINONV_34,GINONV_34,rf,0
0,results/mlp/chemo_trustregion_GINONV_34_model.csv,1,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (10,)}",-1.3606815996641992,0.00507020551807911,0.10650806698828652,0.007953144059667893,-0.07548913590815176,0.106,0.6494360902255638,0.5233918128654971,GINONV_34,GINONV_34,mlp,0
0,results/gbm/chemo_trustregion_GINONV_34_model.csv,1,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.05, 'max_depth': 2, 'n_estimators': 20}",-0.0055770969942034255,0.00378535194115928,0.3329301127979888,0.005456758042418673,0.26209258277338676,0.106,0.8103070175438597,0.7426900584795322,GINONV_34,GINONV_34,gbm,0
0,results/svm/chemo_trustregion_GINONV_34_model.csv,1,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 0.1},-0.008002419792684064,0.0030894799088936834,0.4555594707245556,0.006913531385154724,0.06509578605515276,0.106,0.7944862155388471,0.6885964912280702,GINONV_34,GINONV_34,svm,0
0,results/cart/chemo_trustregion_CONSTITUTIONAL_34_model.csv,1,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.4, 'min_samples_leaf': 0.06}",-0.005231380361890399,0.00412072092359786,0.3285378753035809,0.004672793752111623,0.09240001827853905,0.08181819844581517,0.6398729946524065,0.6055806938159879,CONSTITUTIONAL_34,CONSTITUTIONAL_34,cart,0
0,results/linear/chemo_trustregion_CONSTITUTIONAL_34_model.csv,1,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 100, 'l1_ratio': 0.30000000000000004}",-0.006403466037787453,0.006136937247891557,-2.220446049250313e-16,0.005148516798390247,0.0,0.08181819844581517,0.5,0.5,CONSTITUTIONAL_34,CONSTITUTIONAL_34,linear,0
