Beans,Bulgur,Cheese,Fish,Meat,CSB,Dates,DSM,Milk,Salt,Lentils,Maize,Maize meal,Chickpeas,Rice,Sorghum,Soya-fortified bulgur wheat,Soya-fortified maize meal,Soya-fortified sorghum grits,Soya-fortified wheat flour,Sugar,Oil,Wheat,Wheat flour,WSB,label
0.328276,1.810203,0,0,0,0,0,0.415924,0,0.05,0,0,0.219135,0,1.029679,0,0,0,0,0,0.2,0.384785,0,0,0.662981,0.372856748
0.781211,0,0,0,0,0,0,0.088834,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.386994,1.155361,4.033232,0.741522,0.373342494
0.831723,2.090043,0,0,0,0,0,0.208341,0,0.05,0,0,0,0,0,0.249121,0,0,0,0,0.2,0.399795,2.815902,0,0.751011,0.380491811
0.825887,0,0,0,0,0.059469,0,0.274765,0,0.05,0,0,0,0,2.724565,0.581799,0,0,0,0,0.2,0.353357,0,0,0.762417,0.529986072
0,0,0.230884,0,0,0,0,0.136561,0,0.05,0,0,0,0.716746,0,0,0,0,0,0,0.2,0.316469,1.597986,3.526323,0.706556,0.692772588
0,0,0,0,0,0,0,0.104646,0.157383,0.05,0,3.630938,0,0.320724,0,0,0,0,0,0,0.2,0.249543,2.29161,0,0.871376,0.309787641
0.855961,0,0,0,0,0,0,0.089069,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.208173,3.050423,2.330427,0.889737,0.34363955
0,4.681816,0,0,0,0.112702,0,0.387079,0,0.05,0,0,0,0.58841,0,0,0,0,0,0,0.2,0.2999,0,0,0.495268,0.848637899
0,0,0,0,0,0,0,0.427554,0,0.05,0,0,0,0.423505,0,0,0,0,0,0,0.2,0.310726,1.887682,2.751921,0.86701,0.50326201
0.37567,0,0,0,0,0,0,0.18009,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.260686,2.979143,2.502555,0.798859,0.451021542
0.301978,0,0,0.192185,0,0,0,0.132966,0.060831,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.17112,1.836666,3.412514,0.807597,0.303572243
0,0,0,0,0,0,0,0.31234,0.005494,0.05,0,0,4.658947,0.914926,0,0,0,0,0,0,0.2,0.308363,1.03308,0,0.66621,0.510636756
0.571925,0.959028,0,0,0,0.7,0,0.412209,0,0.05,0,0,0,0,0,0,0,0,0,0.016352,0.2,0.228124,0,4.339788,0,0.637282186
0.637906,0,0,0,0,0.67963,0,0.545814,0,0.05,0.25605,0,0.82037,0,1.626018,0,0,0,0,0,0.2,0.25773,0,0,0,0.432104298
0.851314,0,0.392537,0,0,0.767647,0,0.13527,0,0.05,0.080858,0,0,0,0,0,0,0,0,0,0.2,0.180602,0,5.620788,0,0.277929704
0.580258,0,0,0.301009,0,0,0,0.244903,0,0.05,0,0,0,0,0,4.273566,0,0,0,0,0.2,0.188002,0.754751,0,0.628751,0.518422105
0.695941,0,0.45814,0,0,0,0,0.064282,0,0.05,0,0,0,0.258137,0,5.897798,0,0,0.114055,0,0.2,0.390556,0,0,0.7,0.142334209
0.449316,0.832497,0.161,0,0,0,0,0.278682,0,0.05,0,0.24675,0,0,3.050366,0,0,0,0,0,0.2,0.215147,0,0,0.733089,0.620326711
0.748862,0,0,0,0,0,0,0.322273,0,0.05,0,0,0,0,0.511865,0,0,0,0,0,0.2,0.249603,0.067857,4.513077,0.601214,0.805103281
0.640685,0.460753,0.012419,0,0,0.760933,0,0.458963,0,0.05,0,0,2.0001,0,0.38363,0,0,0,0,0,0.2,0.209756,0,0,0,0.5643774
0.325177,2.130407,0,0,0,0.220479,0,0.359607,0,0.05,0,0,0.269104,0,0.230208,0,0,0,0,0,0.2,0.246501,0,0,0.670772,0.37112846
0.485541,0,0,0,0,0,0,0.091206,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.331836,1.381035,3.779525,0.876676,0.401440598
0.620727,0,0,0,0,0.612515,0,0.440843,0,0.05,0.239071,0,0,0,2.384279,0,0,0,0,0,0.2,0.367316,0,0,0.151991,0.36905666
0.468485,0,0,0,0,0,0,0.21918,0,0.05,0,0,0,0,0,0,0,0,0,0,0.2,0.292762,2.565929,2.542298,0.70278,0.658893842
0.431982,1.740692,0.074028,0,0,0,0,0.321938,0,0.05,0,0.078349,1.213226,0,0,0,0,0,0,0,0.2,0.202376,0,0,0.779757,0.522367111
0,0,0.122514,0,0.044366,0.858319,0,0.284884,0,0.05,0,0,0,0.309194,0,0,0,0,0,0,0.2,0.163554,2.249953,3.537391,0,0.177533325
0.604941,0.051905,0,0,0,0.118551,0,0.373876,0,0.05,0,0,0.386199,0,2.767669,0,0,0,0,0,0.2,0.267092,0,0,0.611047,0.773054803
0.649217,0,0,0,0,0,0,0.176148,0,0.05,0,0,0,0,0,1.445548,0,0,0,0,0.2,0.207498,1.473399,1.06554,0.858329,0.594681488
